steam_appid,nome,data_de_lancamento,plataforma,generos,avaliacoes_positivas,avaliacoes_negativas,media_tempo_jogado,preco
50930,"Hidden Expedition: Everest",2010-04-21,windows,Casual,2,3,0,6.99
50940,"Hidden Expedition: Titanic",2010-04-21,windows,Casual,5,1,0,6.99
50960,"Mystery Case Files: Huntsvilleâ„¢",2010-04-21,windows,Casual,17,3,0,6.99
50970,"Mystery Case Files: Madame FateÂ®",2007-12-14,windows,Casual,15,6,0,4.99
50980,"Mystery Case Files: Prime Suspectsâ„¢",2010-04-21,windows,Casual,9,3,0,4.99
50990,"Mystery Case Files: RavenhearstÂ®",2010-04-21,windows,Casual,24,1,0,6.99
51000,"Mystery Case Files: Return to Ravenhearstâ„¢",2010-04-21,windows,Casual,16,8,0,6.99
51060,"DrawnÂ®: The Painted Tower",2011-01-19,windows,Adventure;Casual,87,13,0,6.99
55100,Homefront,2011-03-14,windows,Action,5506,3685,1772,14.99
55110,"Red FactionÂ®: Armageddonâ„¢",2011-06-09,windows,Action,2674,1005,307,14.99
55140,"MX vs. ATV Reflex",2010-11-26,windows,Racing,1599,359,1024,14.99
55150,"Warhammer 40,000: Space Marine",2011-09-08,windows,Action,9847,998,712,19.99
57620,"Patrician IV - Steam Special Edition",2010-09-17,windows,Strategy,153,129,0,9.99
57650,Dungeons,2011-02-04,windows,RPG;Strategy,214,266,112,6.99
57680,"The First Templar - Steam Special Edition",2011-05-12,windows,Action;Adventure,473,208,36,6.99
57700,"Who's That Flying?!",2011-01-31,windows,Action;Casual;Indie,98,42,25,3.99
58400,Turba,2010-07-01,windows,Casual;Indie,46,83,14,3.49
58520,"Blood Bowl - Legendary Edition",2010-10-28,windows,Sports;Strategy,675,228,284,7.99
58550,"A Game of Thrones - Genesis",2011-09-28,windows,Strategy,201,420,8,6.99
58560,"Runaway: A Twist of Fate",2011-04-21,windows,Adventure,191,34,0,6.99
60600,ProtoGalaxy,2010-10-06,windows,Action;Indie,30,22,33,0
60800,"Numen: Contest of Heroes",2010-06-03,windows,RPG,66,69,0,4.99
61100,Lucid,2011-07-19,windows,Indie;Casual,171,53,127,4.99
61500,"Age of Wonders",2010-10-01,windows,RPG;Strategy,334,98,161,3.99
61510,"Age of Wonders II: The Wizard's Throne",2010-10-01,windows,RPG;Strategy,105,28,0,6.99
61520,"Age of Wonders Shadow Magic",2010-10-01,windows,RPG;Strategy,225,35,151,6.99
61700,"Might & Magic: Clash of Heroes",2011-09-21,windows,RPG;Strategy,1293,157,1595,8.59
62100,Chime,2010-09-06,windows,Casual,564,39,707,3.99
63110,"Alter Ego",2010-08-03,windows,Adventure,139,59,12,7.19
